,mean_importance,std_importance
constraint_violation_rate,0.21115296682401433,0.009895411091134242
budget_management_stress,0.17496478518395622,0.008091491544921484
idle_time_ratio,0.11736987236708335,0.01184594178844542
scheduling_difficulty,0.09712451277422385,0.00940495202311086
multitasking_load,0.06316840650962806,0.00807267908393528
planning_time_ratio,0.05308024152648165,0.006873167377010978
recovery_efficiency,0.052723712254616834,0.007204140859826724
mouse_entropy_avg,0.033864989837137566,0.005594731729644233
form_hesitation_index,0.03163416723829354,0.004899153184415638
form_efficiency,0.028601533109973713,0.0032208423460019188
drag_attempts,0.02759162376937782,0.005548642037051428
filter_optimization_score,0.027069235159528887,0.004029286617456567
exploration_breadth,0.02424156363585653,0.0033828361815327404
form_error_rate,0.016977247018501167,0.004398455867840288
action_density,0.011497475365153064,0.002108692082470809
rapid_hovers,0.008327339862853698,0.002413463976480387
decision_uncertainty,0.007310755267450495,0.0019431967291285701
trait_cautious,0.005949400405050504,0.0013451362394894433
trait_skill,0.004408332562083512,0.001142236061273456
zip_code_struggle,0.0029418393287351657,0.000893882118512339
